Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,79,0,700,691.5940454683506,2.5950019999072538,1634.223489999954,95.75949367088607,1.7963404445714422,0.0,700,900,1000,1100,1200,1400,1600,1600,1600,1600,1600
GET,/model-info,48,0,710,819.3869175208329,16.589200999987952,1776.6710450000573,1006.0,1.0914473587269522,0.0,730,1200,1200,1200,1500,1500,1800,1800,1800,1800,1800
POST,/predict,357,0,400,430.93076283753396,79.72343200003706,1739.8600100000294,246.8235294117647,8.117639730531707,0.0,400,490,560,590,700,820,1100,1400,1700,1700,1700
,Aggregated,484,0,450,512.0016197644612,2.5950019999072538,1776.6710450000573,297.45661157024796,11.005427533830101,0.0,450,570,650,710,980,1200,1500,1600,1800,1800,1800
