Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785145447,10,,Aggregated,7.600000,0.000000,130,170,200,220,280,570,1100,1700,1800,1800,1800,197,0,130,187.68489131472276,2.5560130000030767,1792.6582450000978,281.16243654822335
1785145448,10,,Aggregated,7.800000,0.000000,130,160,200,220,280,510,1000,1300,1800,1800,1800,201,0,130,185.68730750248892,2.5560130000030767,1792.6582450000978,278.9502487562189
1785145449,10,,Aggregated,7.700000,0.000000,130,170,210,220,280,510,1000,1300,1800,1800,1800,208,0,130,186.7070161634623,2.5560130000030767,1792.6582450000978,277.10096153846155
1785145450,10,,Aggregated,7.200000,0.000000,130,170,210,220,280,510,1000,1300,1800,1800,1800,215,0,130,185.76946620930394,2.5560130000030767,1792.6582450000978,275.3813953488372
1785145451,10,,Aggregated,7.500000,0.000000,130,170,210,220,280,390,1000,1300,1800,1800,1800,222,0,130,185.9891049369382,2.5560130000030767,1792.6582450000978,274.4954954954955
1785145452,10,,Aggregated,6.900000,0.000000,130,170,210,220,310,390,1000,1300,1800,1800,1800,230,0,130,184.59969108260927,2.3137489999953686,1792.6582450000978,276.1391304347826
1785145453,10,,Aggregated,6.700000,0.000000,130,170,210,220,310,390,1000,1300,1800,1800,1800,239,0,130,182.43473507949767,2.3137489999953686,1792.6582450000978,279.5313807531381
1785145454,10,,Aggregated,6.900000,0.000000,130,170,200,220,280,380,1000,1300,1800,1800,1800,244,0,130,180.91244792213075,2.3137489999953686,1792.6582450000978,282.04918032786884
1785145455,10,,Aggregated,7.200000,0.000000,130,170,210,230,320,390,950,1300,1800,1800,1800,253,0,130,184.1431073952571,2.3137489999953686,1792.6582450000978,280.2134387351779
1785145456,10,,Aggregated,6.900000,0.000000,130,170,210,220,320,390,950,1300,1800,1800,1800,259,0,130,181.051225903475,2.3137489999953686,1792.6582450000978,277.6872586872587
1785145457,10,,Aggregated,7.100000,0.000000,130,170,210,220,310,390,950,1300,1800,1800,1800,267,0,130,180.50437541947645,2.3137489999953686,1792.6582450000978,276.1947565543071
1785145458,10,,Aggregated,6.800000,0.000000,130,170,210,220,310,390,950,1300,1800,1800,1800,272,0,130,179.55488174264815,2.3137489999953686,1792.6582450000978,275.6360294117647
