Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,59,0,5,68.49011652541398,2.2573950000150944,400.7435830000077,95.61016949152543,1.3396111408791727,0.0,5,25,130,170,230,310,320,400,400,400,400
GET,/model-info,22,0,8,134.23314831818413,3.297287000009419,1833.7938150000355,1006.0,0.49951601863291184,0.0,10,82,91,94,190,190,1800,1800,1800,1800,1800
POST,/predict,221,0,150,234.11499918551897,81.06673699990097,3301.0975290000033,248.05882352941177,5.017865459903342,0.0,150,190,220,230,290,340,1600,2500,3300,3300,3300
,Aggregated,302,0,130,194.48165880132174,2.2573950000150944,3301.0975290000033,273.49006622516555,6.856992619415426,0.0,130,180,210,220,280,330,830,2300,3300,3300,3300
